,ClusterName
6044,Pyramidal L2-3
3339,Pyramidal L2-3
5829,Pyramidal L2-3
5662,Pyramidal L2-3
1841,Pyramidal L2-3
4587,Pyramidal L2-3
365,Pyramidal L2-3
5639,Pyramidal L2-3
3539,Pyramidal L2-3
6713,Pyramidal L2-3
5690,Pyramidal L2-3
3639,Pyramidal L2-3
4665,Pyramidal L2-3
4711,Pyramidal L2-3
1632,Pyramidal L2-3
4671,Pyramidal L2-3
4793,Pyramidal L2-3
5640,Pyramidal L2-3
1612,Pyramidal L2-3
3546,Pyramidal L2-3
5706,Pyramidal L2-3
5691,Pyramidal L2-3
4570,Pyramidal L2-3
3554,Pyramidal L2-3
1855,Pyramidal L2-3
5700,Pyramidal L2-3
5797,Pyramidal L2-3
4640,Pyramidal L2-3
4649,Pyramidal L2-3
6762,Pyramidal L2-3
5837,Pyramidal L2-3
5726,Pyramidal L2-3
4710,Pyramidal L2-3
3587,Pyramidal L2-3
3537,Pyramidal L2-3
3516,Pyramidal L2-3
5755,Pyramidal L2-3
3545,Pyramidal L2-3
3488,Pyramidal L2-3
4759,Pyramidal L2-3
4607,Pyramidal L2-3
4862,Pyramidal L2-3
5704,Pyramidal L2-3
4792,Pyramidal L2-3
4581,Pyramidal L2-3
4648,Pyramidal L2-3
3486,Pyramidal L2-3
5803,Pyramidal L2-3
1660,Pyramidal L2-3
3547,Pyramidal L2-3
1615,Pyramidal L2-3
6714,Pyramidal L2-3
3586,Pyramidal L2-3
3438,Pyramidal L2-3
3432,Pyramidal L2-3
3643,Pyramidal L2-3
5909,Pyramidal L2-3
5848,Pyramidal L2-3
3360,Pyramidal L2-3
3468,Pyramidal L2-3
4576,Pyramidal L2-3
4873,Pyramidal L2-3
4700,Pyramidal L2-3
3754,Pyramidal L2-3
4756,Pyramidal L2-3
3481,Pyramidal L2-3
6717,Pyramidal L2-3
5676,Pyramidal L2-3
1696,Pyramidal L2-3
5737,Pyramidal L2-3
5822,Pyramidal L2-3
4799,Pyramidal L2-3
3508,Pyramidal L2-3
5637,Pyramidal L2-3
5695,Pyramidal L2-3
3482,Pyramidal L2-3
6738,Pyramidal L2-3
1608,Pyramidal L2-3
4868,Pyramidal L2-3
4758,Pyramidal L2-3
4560,Pyramidal L2-3
5635,Pyramidal L2-3
5788,Pyramidal L2-3
1670,Pyramidal L2-3
6736,Pyramidal L2-3
3510,Pyramidal L2-3
4704,Pyramidal L2-3
5798,Pyramidal L2-3
