CellID,ClusterID,ClusterName
114,8,Oligo
115,2,eL4
116,5,eL6-2
117,3,eL5
118,6,Smc
119,8,Oligo
120,8,Oligo
121,10,Endo
122,4,eL6-1
123,13,PVALB
124,2,eL4
125,2,eL4
126,5,eL6-2
127,7,Astro-1
128,-1,NA
129,4,eL6-1
130,2,eL4
131,6,Smc
132,5,eL6-2
133,1,eL2/3
134,5,eL6-2
135,13,PVALB
136,7,Astro-1
137,8,Oligo
138,1,eL2/3
139,1,eL2/3
140,2,eL4
141,8,Oligo
142,5,eL6-2
143,11,Astro-2
144,8,Oligo
145,15,Reln
146,11,Astro-2
147,2,eL4
148,13,PVALB
149,1,eL2/3
150,0,HPC
151,11,Astro-2
152,2,eL4
153,6,Smc
154,8,Oligo
155,8,Oligo
156,7,Astro-1
157,8,Oligo
158,8,Oligo
159,2,eL4
160,1,eL2/3
161,3,eL5
162,2,eL4
163,8,Oligo
164,8,Oligo
165,7,Astro-1
166,0,HPC
167,10,Endo
168,7,Astro-1
169,10,Endo
170,10,Endo
171,2,eL4
172,10,Endo
173,15,Reln
174,8,Oligo
175,5,eL6-2
176,11,Astro-2
177,1,eL2/3
178,0,HPC
179,8,Oligo
180,4,eL6-1
181,2,eL4
182,8,Oligo
183,2,eL4
184,10,Endo
185,1,eL2/3
186,5,eL6-2
187,2,eL4
188,7,Astro-1
189,7,Astro-1
190,2,eL4
191,1,eL2/3
192,15,Reln
193,5,eL6-2
194,2,eL4
195,5,eL6-2
196,2,eL4
197,1,eL2/3
198,13,PVALB
199,7,Astro-1
200,7,Astro-1
201,9,Micro
202,8,Oligo
203,1,eL2/3
204,11,Astro-2
205,6,Smc
206,11,Astro-2
207,7,Astro-1
208,2,eL4
209,11,Astro-2
210,9,Micro
211,2,eL4
212,5,eL6-2
213,1,eL2/3
214,11,Astro-2
215,5,eL6-2
216,3,eL5
217,5,eL6-2
218,13,PVALB
219,13,PVALB
220,2,eL4
221,11,Astro-2
222,12,VIP
223,8,Oligo
224,14,SST
225,1,eL2/3
226,12,VIP
227,2,eL4
228,1,eL2/3
229,2,eL4
230,0,HPC
231,2,eL4
232,13,PVALB
233,10,Endo
234,8,Oligo
235,2,eL4
236,12,VIP
237,7,Astro-1
238,12,VIP
239,2,eL4
240,8,Oligo
241,11,Astro-2
242,7,Astro-1
243,1,eL2/3
244,2,eL4
245,8,Oligo
246,13,PVALB
247,6,Smc
248,0,HPC
249,8,Oligo
250,7,Astro-1
251,2,eL4
252,10,Endo
253,10,Endo
254,-1,NA
255,2,eL4
256,1,eL2/3
257,1,eL2/3
258,-1,NA
259,7,Astro-1
260,1,eL2/3
261,11,Astro-2
262,8,Oligo
263,7,Astro-1
264,6,Smc
265,0,HPC
266,2,eL4
267,1,eL2/3
268,8,Oligo
269,13,PVALB
270,8,Oligo
271,9,Micro
272,10,Endo
273,-1,NA
274,13,PVALB
275,0,HPC
276,15,Reln
277,7,Astro-1
278,10,Endo
279,10,Endo
280,7,Astro-1
281,-1,NA
282,11,Astro-2
283,8,Oligo
284,5,eL6-2
285,0,HPC
286,-1,NA
287,1,eL2/3
288,0,HPC
289,4,eL6-1
290,11,Astro-2
291,8,Oligo
292,2,eL4
293,11,Astro-2
294,8,Oligo
295,1,eL2/3
296,2,eL4
297,10,Endo
298,6,Smc
299,8,Oligo
300,7,Astro-1
301,11,Astro-2
302,-1,NA
303,8,Oligo
304,11,Astro-2
305,8,Oligo
306,2,eL4
307,2,eL4
308,11,Astro-2
309,0,HPC
310,4,eL6-1
311,8,Oligo
312,2,eL4
313,1,eL2/3
314,8,Oligo
315,7,Astro-1
316,9,Micro
317,5,eL6-2
318,2,eL4
319,2,eL4
320,5,eL6-2
321,10,Endo
322,5,eL6-2
323,11,Astro-2
324,11,Astro-2
325,1,eL2/3
326,8,Oligo
327,13,PVALB
328,14,SST
329,2,eL4
330,12,VIP
331,6,Smc
332,5,eL6-2
333,13,PVALB
334,0,HPC
335,11,Astro-2
336,8,Oligo
337,10,Endo
338,1,eL2/3
339,15,Reln
340,0,HPC
341,14,SST
342,7,Astro-1
343,8,Oligo
344,1,eL2/3
345,1,eL2/3
346,6,Smc
347,3,eL5
348,0,HPC
349,5,eL6-2
350,1,eL2/3
351,10,Endo
352,7,Astro-1
353,3,eL5
354,2,eL4
355,2,eL4
356,0,HPC
357,8,Oligo
358,10,Endo
359,7,Astro-1
360,11,Astro-2
361,8,Oligo
362,8,Oligo
363,5,eL6-2
364,2,eL4
365,2,eL4
366,1,eL2/3
367,2,eL4
368,10,Endo
369,10,Endo
370,11,Astro-2
371,6,Smc
372,2,eL4
373,1,eL2/3
374,2,eL4
375,7,Astro-1
376,8,Oligo
377,4,eL6-1
378,5,eL6-2
379,4,eL6-1
380,11,Astro-2
381,3,eL5
382,0,HPC
383,6,Smc
384,5,eL6-2
385,11,Astro-2
386,8,Oligo
387,0,HPC
388,3,eL5
389,1,eL2/3
390,1,eL2/3
391,8,Oligo
392,4,eL6-1
393,8,Oligo
394,7,Astro-1
395,2,eL4
396,4,eL6-1
397,2,eL4
398,11,Astro-2
399,1,eL2/3
400,8,Oligo
401,5,eL6-2
402,10,Endo
403,10,Endo
404,1,eL2/3
405,4,eL6-1
406,12,VIP
407,2,eL4
408,8,Oligo
409,1,eL2/3
410,-1,NA
411,11,Astro-2
