"","cell_ID","cell_types","cell_subtypes"
"520",1.41028347579365e+38,"Micro","Micro_1"
"521",1.41143116591349e+38,"L4/5 IT","L45_IT_2"
"522",1.4125462540633e+38,"VLMC","VLMC"
"523",1.41299576441517e+38,"L2/3 IT","L23_IT_4"
"524",1.41417800263687e+38,"Endo","Endo"
"525",1.41517919909179e+38,"Oligo","Oligo_1"
"526",1.4153616862652e+38,"Sncg","Sncg_2"
"527",1.4161612289395e+38,"Endo","Endo"
"528",1.41624337995253e+38,"L5 ET","L5_ET_5"
"529",1.41663898646419e+38,"Oligo","Oligo_1"
"530",1.41676746088884e+37,"Oligo","Oligo_2"
"531",1.4173117087171e+38,"VLMC","VLMC"
"532",1.4177714847158e+37,"L4/5 IT","L45_IT_2"
"533",1.41847448762948e+38,"L6 CT","L6_CT_1"
"534",1.41893642542077e+38,"VLMC","VLMC"
"535",1.41901373732853e+38,"Oligo","Oligo_3"
"536",1.42083740870729e+38,"Oligo","Oligo_1"
"537",1.4216849656274e+38,"L5 ET","L5_ET_5"
"538",1.42169477888789e+37,"L5 IT","L5_IT_1"
"539",1.42202560295401e+38,"L2/3 IT","L23_IT_5"
"540",1.42266677083177e+38,"L2/3 IT","L23_IT_4"
"541",1.4235506206416e+38,"L2/3 IT","L23_IT_4"
"542",1.4239060379576e+38,"L5 ET","L5_ET_3"
"543",1.4246750971051e+38,"L4/5 IT","L45_IT_5"
"544",1.42563945254354e+37,"L5 IT","L5_IT_4"
"545",1.42852930338113e+38,"PVM","PVM"
"546",1.43030201765817e+38,"L2/3 IT","L23_IT_5"
"547",1.43045645233806e+37,"Endo","Endo"
"548",1.43207266255925e+38,"L2/3 IT","L23_IT_4"
"549",1.4326466636858e+38,"L6 CT","L6_CT_6"
"550",1.43458178282345e+38,"L6 CT","L6_CT_5"
"551",1.43590020952197e+38,"Peri","Peri"
"552",1.43695253385045e+38,"L4/5 IT","L45_IT_SSp_1"
"553",1.43771898190415e+38,"Astro","Astro_1"
"554",1.4388101109956e+37,"Astro","Astro_1"
"555",1.43902214354456e+38,"Micro","Micro_1"
"556",1.43908402307553e+38,"L6 CT","L6_CT_2"
"557",1.439770916376e+37,"OPC","OPC"
"558",1.44040379925238e+38,"Oligo","Oligo_1"
"559",1.44055465255294e+38,"L5 ET","L5_ET_5"
"560",1.44129840407783e+38,"VLMC","VLMC"
"561",1.4424130160933e+38,"L6 IT","L6_IT_1"
"562",1.44328717937614e+38,"OPC","OPC"
"563",1.44351068158902e+38,"Endo","Endo"
"564",1.44367155802795e+38,"Astro","Astro_1"
"565",1.444610129971e+38,"Micro","Micro_1"
"566",1.4450021314851e+38,"L6 CT","L6_CT_1"
"567",1.44584552386026e+38,"SMC","SMC"
"568",1.44697665108874e+38,"Oligo","Oligo_2"
"569",1.44765913968121e+38,"L6 CT","L6_CT_5"
"570",1.44786525902914e+38,"Oligo","Oligo_1"
"571",1.44786681798558e+38,"L5 IT","L5_IT_4"
"572",1.44931619737833e+37,"Astro","Astro_1"
"573",1.45019523649502e+38,"Oligo","Oligo_1"
"574",1.45031659284958e+38,"L5 ET","L5_ET_5"
"575",1.45216582406904e+38,"Pvalb","Pvalb_7"
"576",1.45356661320857e+38,"L5 IT","L5_IT_1"
"577",1.45432559253238e+38,"VLMC","VLMC"
"578",1.45457540748816e+37,"L6 IT","L6_IT_1"
"579",1.45547423614619e+38,"L2/3 IT","L23_IT_5"
"580",1.45703746767736e+38,"L4/5 IT","L45_IT_4"
"581",1.45712370984267e+38,"VLMC","VLMC"
"582",1.4571833076944e+38,"Endo","Endo"
"583",1.45863830454154e+38,"L2/3 IT","L23_IT_4"
"584",1.4590027063077e+38,"L6 CT","L6_CT_1"
"585",1.45904335336276e+38,"PVM","PVM"
"586",1.45951238398108e+38,"L5 IT","L5_IT_4"
"587",1.46117904925256e+38,"Oligo","Oligo_1"
